job_name,job_region,job_company,job_company_type,job_company_financ,job_company_pernum,job_salary,job_experience,job_edu
python,西安 长安区 王寺,软通动力,计算机软件,已上市,10000人以上,7-12K,1-3年,本科
Python,南京 建邺区 奥体,万得,数据服务,不需要融资,1000-9999人,10-15K,1年以内,本科
Python,南京 鼓楼区 湖南路,法信,互联网金融,不需要融资,1000-9999人,10-20K,1-3年,大专
Python,深圳  ,软通动力,计算机软件,已上市,10000人以上,10-20K,3-5年,本科
Python,沈阳  ,筑梦园,互联网,未融资,500-999人,5-9K,1-3年,本科
Python,西安 雁塔区 ,中软国际,计算机软件,已上市,10000人以上,7-14K,1-3年,本科
python,上海  ,汉克时代,互联网,未融资,1000-9999人,13-17K,3-5年,本科
Python,合肥  ,神州信息,计算机软件,已上市,1000-9999人,6-11K,1-3年,本科
python,大连  ,纬创软件,计算机软件,已上市,1000-9999人,8-12K·14薪,5-10年,本科
python,深圳 龙岗区 坂田,软通动力,计算机软件,已上市,10000人以上,10-20K,3-5年,本科
Python,西安 雁塔区 ,中软国际,互联网,已上市,10000人以上,7-14K,3-5年,本科
python,杭州 西湖区 西溪,博彦科技,计算机软件,已上市,1000-9999人,12-18K,3-5年,大专
Python,北京 朝阳区 百子湾,掌阅科技,互联网,已上市,500-999人,15-25K,1-3年,本科
python,深圳 福田区 购物公园,深圳国开创新科技,移动互联网,不需要融资,500-999人,8-13K,3-5年,本科
Python,杭州 西湖区 转塘,中软国际,计算机软件,已上市,10000人以上,11-18K,3-5年,大专
python,上海 浦东新区 金桥,软通动力,计算机软件,已上市,10000人以上,8-15K,1-3年,本科
Python,西安 长安区 王寺,软通动力,计算机软件,已上市,10000人以上,7-14K,1-3年,本科
Python,成都  ,软通动力,计算机软件,已上市,10000人以上,10-15K,3-5年,本科
Python,西安 雁塔区 ,中软国际,计算机软件,已上市,10000人以上,8-16K,经验不限,本科
python,杭州 西湖区 转塘,软通动力,计算机软件,已上市,10000人以上,15-20K,3-5年,大专
Python,南京 江宁区 大学城,软通动力,计算机软件,已上市,10000人以上,10-15K,1-3年,本科
Python,北京 西城区 陶然亭,深信服科技,计算机软件,已上市,1000-9999人,15-30K,1年以内,本科
python,天津 滨海新区 开发区,富士康,互联网,已上市,10000人以上,10-15K,5-10年,本科
python,成都 武侯区 ,追越科技,移动互联网,未融资,100-499人,6-12K,3-5年,大专
Python,南京 玄武区 珠江路,奥本景观规划设计,工程施工,天使轮,20-99人,4-8K,经验不限,本科
Python,北京 朝阳区 望京,茂逊,电子商务,C轮,500-999人,15-25K·14薪,1-3年,本科
Python爬虫,深圳 龙岗区 坂田,软通动力,计算机软件,已上市,10000人以上,15-30K,3-5年,本科
Python,北京 海淀区 四季青,首云融金,互联网,已上市,100-499人,15-20K,5-10年,大专
Python,南京 江宁区 大学城,软通动力信息技术集团,计算机软件,不需要融资,10000人以上,8-13K,3-5年,本科
python,东莞  ,软通动力,计算机软件,已上市,10000人以上,9-15K,1-3年,本科
Python,北京 东城区 广渠门,东方金信,计算机软件,B轮,100-499人,8-13K,3-5年,本科
Python,北京 西城区 陶然亭,深信服科技,计算机软件,已上市,1000-9999人,15-30K,1年以内,本科
Python,北京  ,金风科技,计算机软件,已上市,1000-9999人,15-30K,3-5年,本科
