job_name,job_company,job_region,job_exp,job_edu,job_salary,job_company_type,job_company_pernum
高级Java研发工程师,武汉合众易宝科技有限公司,北京,无经验,学历不限,25K-40K,民营,100-499人
Linux/Linuxc/Linuxc++,北京信果科技有限公司,北京-海淀区,1-3年,大专,10K-15K,民营,100-499人
.NET高级软件工程师,山西东杰智能物流装备股份有限公司,上海,3-5年,本科,15K-30K,上市公司,100-499人
中级工程师,乐飞天下信息技术(北京)有限公司,北京,3-5年,大专,15K-25K,民营,20-99人
Java开发工程师,欣旺达电子股份有限公司,深圳,3-5年,本科,10K-15K,上市公司,10000人以上
数据开发工程师,上海鸿屹投资管理有限公司,上海,1-3年,本科,10K-15K,合资,20-99人
数据开发工程师,广州银行股份有限公司信用卡中心,广州,3-5年,本科,18K-28K,国企,1000-9999人
软件开发工程师 ,北京辰安科技股份有限公司,北京,3-5年,本科,15K-25K,上市公司,1000-9999人
急招,深圳市十七大道科技有限公司,深圳-南山区,无经验,大专,3K-5K,民营,100-499人
数据分析工程师-ADAS,北京经纬恒润科技有限公司海淀分公司,上海-徐汇区,经验不限,本科,13K-22K,民营,1000-9999人
 开发工程师,广州市银河在线饰品有限公司,广州,1-3年,大专,8K-10K,民营,100-499人
IT Principal System Analyst系统分析专家(J21776),捷信消费金融有限公司,天津-和平区,3-5年,本科,15K-20K,外商独资,10000人以上
开发工程师,北京汉迪移动互联网科技股份有限公司,北京-海淀区,1-3年,本科,15K-30K,股份制企业,100-499人
（AI人工智能方向）开发实习生,中青才智教育投资(北京)有限公司,深圳,经验不限,大专,8K-16K,国企,500-999人
（AI人工智能方向）开发实习生,中青才智教育投资(北京)有限公司,上海,经验不限,大专,8K-16K,国企,500-999人
JAVA+,中青才智教育投资(北京)有限公司,广州,经验不限,大专,8K-16K,国企,500-999人
Java开发工程师,中科院成都信息技术股份有限公司,成都,经验不限,本科,6K-8K,国企,100-499人
JAVA+,中青才智教育投资(北京)有限公司,天津,经验不限,大专,8K-16K,国企,500-999人
研发工程师,北京风行在线技术有限公司,北京,1-3年,本科,12K-17K,民营,500-999人
工程师,深圳市无极云区块链互联网技术开发有限公司,深圳,3-5年,本科,10K-20K,民营,100-499人
开发工程师,纳米盒,上海,5-10年,本科,15K-30K,民营,100-499人
软件工程师,杭州禾顺供应链有限公司,杭州,1-3年,大专,8K-10K,民营,20-99人
（AI人工智能方向）开发实习生,中青才智教育投资(北京)有限公司,广州,经验不限,大专,8K-16K,国企,500-999人
