job_name,job_company,job_addr,job_experience,job_edu,job_salary
Python开发工程师,花旗金融信息服务（中国）有限公司大连分公司,大连,无工作经验,招10人,
Python开发工程师,广州国交润万交通信息有限公司,广州,1年经验,本科,0.8-1.2万/月
国企/2019年应届硕士/可解决户口/Python工程师,大唐融合通信股份有限公司,北京-东城区,无工作经验,硕士,6-8千/月
python 研发工程师,长安通信科技有限责任公司,北京-朝阳区,无工作经验,招5人,1-1.5万/月
python开发工程师（武汉）,北京华路时代信息技术股份有限公司,武汉-东湖新技术产业开发区,2年经验,本科,0.7-1.2万/月
python/java高级后端开发,南京数溪智能科技有限公司,南京-秦淮区,3-4年经验,招若干人,0.8-1.8万/月
PHP高级程序员(python程序员）,浙江房洽洽网络科技有限公司,宁波,2年经验,大专,0.8-1.5万/月
python开发工程师,北京天云智汇科技有限公司,北京-海淀区,1年经验,招若干人,1-3万/月
SAS/R/Python语言 金融 数据分析 数据挖掘,深圳市长亮科技股份有限公司,常州,2年经验,本科,0.8-1.6万/月
python开发,优品科技股份有限公司,珠海-香洲区,无工作经验,大专,6-8千/月
python少儿编程老师,北京童程童美科技有限公司,北京-朝阳区,无工作经验,本科,0.8-1万/月
Python开发工程师,南京新立讯科技股份有限公司,南京-雨花台区,3-4年经验,本科,1-1.5万/月
Python爬虫研发工程师,广州多益网络股份有限公司,武汉-武昌区,无工作经验,招5人,1-2万/月
Python课程研发,珺馨科技有限公司,北京-海淀区,1年经验,本科,1-1.5万/月
Python 数据分析师,知才（上海）信息技术有限公司,上海-浦东新区,无工作经验,招4人,1-1.6万/月
Python资深开发工程师,晶宇光电（厦门）有限公司,厦门,3-4年经验,本科,0.5-1万/月
python开发工程师（高级）,广州锦行网络科技有限公司,广州-天河区,3-4年经验,大专,1.2-1.8万/月
Python数据分析师,上海玖数软件有限公司,上海-普陀区,2年经验,本科,0.8-1.2万/月
四年/python开发/后台开发工程师,上海溪纬网络科技有限公司,上海-嘉定区,3-4年经验,招2人,1-1.5万/月
Python开发工程师（深圳宝安区）,广州金达通信息科技有限公司,深圳,2年经验,大专,0.8-1万/月
算法工程师 python,广州尚礼坊,广州-海珠区,3-4年经验,本科,0.5-1.5万/月
Python 讲师,江苏万和系统工程有限公司,南京-雨花台区,1年经验,本科,1.2-2万/月
Python工程师,宁波齐配汽车零部件有限公司,宁波-江北区,1年经验,大专,0.3-1万/月
python讲师（六险一金+双休）,北京金信润天信息技术股份有限公司武汉分公司,武汉-洪山区,2年经验,本科,0.8-1.5万/月
Python开发（量化策略）,上海财浪投资管理有限公司,上海-浦东新区,3-4年经验,本科,0.8-1.5万/月
Python开发工程师,苏州东湾信息科技有限公司,苏州-工业园区,无工作经验,招3人,0.8-1.5万/月
Python开发工程师,湖北百旺金赋科技有限公司,武汉-东湖新技术产业开发区,1年经验,本科,6-8千/月
高级Python/C++研发工程师,青岛艾德软件有限公司,青岛-黄岛区,3-4年经验,本科,1.2-1.5万/月
python软件开发工程师,武汉芯云道数据科技有限公司,武汉-东西湖区,1年经验,招若干人,10-15万/年
python后台开发工程师,深圳市云趣网络科技股份有限公司,深圳-南山区,1年经验,大专,1-1.5万/月
自动化实施（shell/python）,北京中亦安图科技股份有限公司,上海,1年经验,本科,1-1.5万/月
爬虫工程师（python）,福建省大司空信息科技有限公司重庆分公司,重庆-渝北区,1年经验,本科,6-9.6千/月
Python开发工程师,杭州汇萃智能科技有限公司,杭州-余杭区,2年经验,本科,1-1.5万/月
job_name,job_company,job_addr,job_experience,job_edu,job_salary
Python开发工程师,花旗金融信息服务（中国）有限公司大连分公司,大连,无工作经验,招10人,
Python开发工程师suk,上海华泛信息服务有限公司,昆山,2年经验,大专,1-1.5万/月
python/PHP高级程序员,江苏艾康生物医药研发有限公司,南京-浦口区,5-7年经验,大专,1.2-2万/月
Python量化开发工程师,上海汇银（集团）有限公司,上海-静安区,无工作经验,招1人,1.8-2.5万/月
Python开发工程师,广州深声科技有限公司,广州-天河区,无工作经验,招1人,0.8-1.3万/月
python开发工程师,福建我家网络科技有限公司,福州-鼓楼区,2年经验,大专,0.8-1.2万/月
Python开发工程师(职位编号：J191682),网易集团,广州,2年经验,本科,1.5-2万/月
Python开发工程师（量化开发）,北京友信科技有限公司,深圳-南山区,3-4年经验,本科,1.5-2.6万/月
Python Web开发工程师,浙江省数理医学学会,杭州-西湖区,无工作经验,大专,6-8千/月
国企/2019年应届硕士/可解决户口/Python工程师,大唐融合通信股份有限公司,北京-东城区,无工作经验,硕士,6-8千/月
Python开发工程师,广州国交润万交通信息有限公司,广州,1年经验,本科,0.8-1.2万/月
python 研发工程师,长安通信科技有限责任公司,北京-朝阳区,无工作经验,招5人,1-1.5万/月
python开发工程师（武汉）,北京华路时代信息技术股份有限公司,武汉-东湖新技术产业开发区,2年经验,本科,0.7-1.2万/月
python/java高级后端开发,南京数溪智能科技有限公司,南京-秦淮区,3-4年经验,招若干人,0.8-1.8万/月
PHP高级程序员(python程序员）,浙江房洽洽网络科技有限公司,宁波,2年经验,大专,0.8-1.5万/月
python开发工程师,北京天云智汇科技有限公司,北京-海淀区,1年经验,招若干人,1-3万/月
python开发工程师（高级）,广州锦行网络科技有限公司,广州-天河区,3-4年经验,大专,1.2-1.8万/月
Python开发工程师,北京殷图网联科技股份有限公司,福州,2年经验,本科,1-1.5万/月
四年/python开发/后台开发工程师,上海溪纬网络科技有限公司,上海-嘉定区,3-4年经验,招2人,1-1.5万/月
Python数据分析师,上海玖数软件有限公司,上海-普陀区,2年经验,本科,0.8-1.2万/月
Python开发工程师（深圳宝安区）,广州金达通信息科技有限公司,深圳,2年经验,大专,0.8-1万/月
算法工程师 python,广州尚礼坊,广州-海珠区,3-4年经验,本科,0.5-1.5万/月
Python开发工程师,深圳市玄羽科技有限公司,深圳-龙华新区,1年经验,本科,1-1.5万/月
Python 讲师,江苏万和系统工程有限公司,南京-雨花台区,1年经验,本科,1.2-2万/月
Python工程师,宁波齐配汽车零部件有限公司,宁波-江北区,1年经验,大专,0.3-1万/月
python讲师（六险一金+双休）,北京金信润天信息技术股份有限公司武汉分公司,武汉-洪山区,2年经验,本科,0.8-1.5万/月
Python开发工程师,北京嘉连勤科技有限公司,深圳-南山区,2年经验,大专,0.8-1.5万/月
Python 实习生,大宇宙信息创造（中国）有限公司,苏州-工业园区,无工作经验,大专,3-5千/月
Python开发（量化策略）,上海财浪投资管理有限公司,上海-浦东新区,3-4年经验,本科,0.8-1.5万/月
Python开发工程师,苏州东湾信息科技有限公司,苏州-工业园区,无工作经验,招3人,0.8-1.5万/月
Python后端工程,武汉深捷科技股份有限公司,武汉-江岸区,无工作经验,招若干人,0.6-1万/月
Python开发工程师,湖北百旺金赋科技有限公司,武汉-东湖新技术产业开发区,1年经验,本科,6-8千/月
python高级研发工程师,壹沓科技（上海）有限公司,上海-静安区,3-4年经验,本科,1.5-2.8万/月
高级Python/C++研发工程师,青岛艾德软件有限公司,青岛-黄岛区,3-4年经验,本科,1.2-1.5万/月
python软件开发工程师,武汉芯云道数据科技有限公司,武汉-东西湖区,1年经验,招若干人,10-15万/年
